macroarea,anno,decessi,sesso,mese,fascia_eta,mese_num
sud,2022,442,femmine,luglio,50_64,7
centro,2023,335,femmine,luglio,50_64,7
isole,2023,256,femmine,luglio,50_64,7
nord,2023,714,femmine,luglio,50_64,7
sud,2023,436,femmine,luglio,50_64,7
centro,2024,290,femmine,luglio,50_64,7
isole,2024,217,femmine,luglio,50_64,7
nord,2024,685,femmine,luglio,50_64,7
sud,2024,401,femmine,luglio,50_64,7
centro,2015,1176,femmine,luglio,65_79,7
isole,2015,650,femmine,luglio,65_79,7
nord,2015,2655,femmine,luglio,65_79,7
sud,2015,1308,femmine,luglio,65_79,7
centro,2016,997,femmine,luglio,65_79,7
isole,2016,543,femmine,luglio,65_79,7
nord,2016,2290,femmine,luglio,65_79,7
sud,2016,1087,femmine,luglio,65_79,7
centro,2017,992,femmine,luglio,65_79,7
isole,2017,591,femmine,luglio,65_79,7
nord,2017,2255,femmine,luglio,65_79,7
sud,2017,1217,femmine,luglio,65_79,7
centro,2018,936,femmine,luglio,65_79,7
isole,2018,570,femmine,luglio,65_79,7
nord,2018,2225,femmine,luglio,65_79,7
sud,2018,1080,femmine,luglio,65_79,7
centro,2019,1028,femmine,luglio,65_79,7
isole,2019,564,femmine,luglio,65_79,7
nord,2019,2255,femmine,luglio,65_79,7
sud,2019,1153,femmine,luglio,65_79,7
centro,2020,1080,femmine,luglio,65_79,7
isole,2020,588,femmine,luglio,65_79,7
nord,2020,2154,femmine,luglio,65_79,7
sud,2020,1165,femmine,luglio,65_79,7
centro,2021,1064,femmine,luglio,65_79,7
isole,2021,639,femmine,luglio,65_79,7
nord,2021,2309,femmine,luglio,65_79,7
sud,2021,1273,femmine,luglio,65_79,7
centro,2022,1195,femmine,luglio,65_79,7
isole,2022,781,femmine,luglio,65_79,7
nord,2022,2732,femmine,luglio,65_79,7
sud,2022,1448,femmine,luglio,65_79,7
centro,2023,1138,femmine,luglio,65_79,7
isole,2023,853,femmine,luglio,65_79,7
nord,2023,2267,femmine,luglio,65_79,7
sud,2023,1471,femmine,luglio,65_79,7
centro,2024,1024,femmine,luglio,65_79,7
isole,2024,654,femmine,luglio,65_79,7
nord,2024,2243,femmine,luglio,65_79,7
sud,2024,1346,femmine,luglio,65_79,7
centro,2015,4721,femmine,luglio,80_plus,7
isole,2015,1994,femmine,luglio,80_plus,7
nord,2015,10705,femmine,luglio,80_plus,7
sud,2015,4597,femmine,luglio,80_plus,7
centro,2016,3751,femmine,luglio,80_plus,7
isole,2016,1689,femmine,luglio,80_plus,7
nord,2016,8269,femmine,luglio,80_plus,7
sud,2016,3432,femmine,luglio,80_plus,7
centro,2017,3729,femmine,luglio,80_plus,7
isole,2017,1885,femmine,luglio,80_plus,7
nord,2017,8203,femmine,luglio,80_plus,7
sud,2017,3782,femmine,luglio,80_plus,7
centro,2018,3793,femmine,luglio,80_plus,7
isole,2018,1838,femmine,luglio,80_plus,7
nord,2018,8731,femmine,luglio,80_plus,7
sud,2018,3619,femmine,luglio,80_plus,7
centro,2019,4143,femmine,luglio,80_plus,7
isole,2019,1959,femmine,luglio,80_plus,7
nord,2019,9430,femmine,luglio,80_plus,7
sud,2019,3969,femmine,luglio,80_plus,7
centro,2020,4156,femmine,luglio,80_plus,7
isole,2020,2018,femmine,luglio,80_plus,7
nord,2020,9297,femmine,luglio,80_plus,7
sud,2020,4057,femmine,luglio,80_plus,7
centro,2021,4290,femmine,luglio,80_plus,7
isole,2021,2226,femmine,luglio,80_plus,7
nord,2021,9254,femmine,luglio,80_plus,7
sud,2021,4515,femmine,luglio,80_plus,7
centro,2022,5705,femmine,luglio,80_plus,7
isole,2022,2695,femmine,luglio,80_plus,7
nord,2022,12544,femmine,luglio,80_plus,7
sud,2022,5366,femmine,luglio,80_plus,7
centro,2023,4571,femmine,luglio,80_plus,7
isole,2023,2765,femmine,luglio,80_plus,7
nord,2023,8745,femmine,luglio,80_plus,7
sud,2023,5187,femmine,luglio,80_plus,7
centro,2024,4463,femmine,luglio,80_plus,7
isole,2024,2146,femmine,luglio,80_plus,7
